reference,fonction_publique,procedure_type,famille_procedure_deduite,typologie_marche_verifiee,seuil_formalise_applicable,plateforme_source,duree,renouvellements,localisation,cpv_principal,cpv_secondaires,ccag_type,verification_requise,raisons_verification,notes_verification,qualite_preuve_procedure,conflit_detecte,type_conflit,categorie_regime,preuve_regime,preuve_typologie,preuve_joue_detectee,source_preuve_joue,justification_juridique_courte,code_couleur_procedure,niveau_procedure_deduit,url_provenance,audit_verdict,audit_contamination_effective,audit_risque,audit_zones_annexes,audit_notes,source_procedure_evidence,seuil_applicable_ht,montant_estime_ht_parsed,ratio_montant_sur_seuil,priorite_juridique,niveau_confiance,procedure_verdict,verdict_final,notes_consolidation
1157695,territoriale,MAPA,MAPA_SOUS_SEUIL,services,216000,FRANCE_MARCHES,,,Yvelines (78) - Croissy-sur-Seine,72600000,72600000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'infogérance',non,,Procédure explicitement qualifiée MAPA dans procedure_type.,MAPA_SOUS_SEUIL,MAPA_SOUS_SEUIL,canonical,PROPRE,non,faible,,Structure France Marchés - pas de zones annexes,Badge/champ explicite: MAPA,216000,,,source_explicite,fort,Procédure source MAPA cohérente avec le montant et le seuil applicable,MAPA_SOUS_SEUIL - procédure source mapa cohérente avec le montant et le seuil applicable,
13/joue/002671162026,hors_fonction_publique,formalisee,JOUE_PROUVE,services,,FRANCE_MARCHES,96.0,3 reconduction(s) — Le lot 1 comporte trois reconductions. 3 reconductions tacites de 12 mois,Liège,19417458,19417458|72500000|42201315|42201390|22349470,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002708922026,hors_fonction_publique,formalisee,JOUE_PROUVE,services,,FRANCE_MARCHES,36.0,1 reconduction(s) — Une reconduction de 12 mois,Paris,72200000,72200000|72316000|72212463|72310000|72322000,prestations_intellectuelles,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,CCAG prestations/services; titre contient 'fourniture'; titre contient 'service',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002845752026,etat,formalisee,JOUE_PROUVE,services,140000,FRANCE_MARCHES,48.0,,Paris,72500000,72500000|72610000|72611000|72600000,tic,False,,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002850982026,territoriale,formalisee,JOUE_PROUVE,services,216000,FRANCE_MARCHES,48.0,,Paris,72250000,72250000|79999100|72311100|79995200|60181000|45510000|79952000|22112000|30237380|22111000,,True,ccag_type_manquant,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,titre contient 'service',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002925532026,hors_fonction_publique,formalisee,JOUE_PROUVE,indetermine,,FRANCE_MARCHES,96.0,,,72000000,72000000|81251380,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,Aucun indice typologique clair,oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002929142026,etat,formalisee,JOUE_PROUVE,services,140000,FRANCE_MARCHES,48.0,,Paris,72224000,72224000|72000000|72224100,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services' (pas d'indice titre),oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002939872026,etat,formalisee,JOUE_PROUVE,services,140000,FRANCE_MARCHES,48.0,,Paris,72000000,72000000,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002946202026,etat,formalisee,JOUE_PROUVE,services,140000,FRANCE_MARCHES,,,,72000000,72000000|26298223|26298212,tic,True,fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='services'; CCAG prestations/services; titre contient 'maintenance',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
13/joue/002946822026,inconnue,formalisee,JOUE_PROUVE,services,,FRANCE_MARCHES,48.0,,Val-de-Marne,72250000,72250000,,True,ccag_type_manquant | fonction_publique_inconnue,,EXPLICITE,non,,marches_ordinaires,Aucun marqueur défense/sécurité détecté,type_marche='fournitures'; titre contient 'serveur'; titre contient 'prestation',oui,reference,Publication JOUE avérée.,JOUE_PROUVE,JOUE_PROUVE,canonical,NON_AUDITE,inconnu,inconnu,,Fichier non audité individuellement,Badge/champ explicite: FORMALISEE,216000,,,preuve_joue,fort,Procédure formalisée confirmée par preuve de publication JOUE,JOUE_PROUVE - procédure formalisée confirmée par preuve de publication joue,
